Date,NVDA_Close,QUBT_Close,GSPC_Close,NVDA_Volume,QUBT_Volume,GSPC_Volume,NVDA_Return,QUBT_Return,GSPC_Return,NVDA_RollingVol,QUBT_RollingVol,GSPC_RollingVol,NVDA_Direction,NVDA_Return_lag1
2010-01-05,0.430073,220.000000,1136.520020,728648000,212,2491020000,0.014602,0.157895,0.003116,0.023311,0.112394,0.007938,1,
2010-01-06,0.432824,194.000000,1137.140015,649168000,99,4972660000,0.006397,-0.118182,0.000546,0.023311,0.112394,0.007938,0,0.014602
2010-01-07,0.424342,200.000000,1141.689941,547792000,137,5270680000,-0.019598,0.030928,0.004001,0.023311,0.112394,0.007938,1,0.006397
2010-01-08,0.425259,190.000000,1144.979980,478168000,70,4389590000,0.002161,-0.050000,0.002882,0.023311,0.112394,0.007938,0,-0.019598
2010-01-11,0.419299,194.000000,1146.979980,556612000,37,4255780000,-0.014016,0.021053,0.001747,0.023311,0.112394,0.007938,0,0.002161
2010-01-12,0.405085,200.000000,1136.219971,627432000,56,4716160000,-0.033898,0.030928,-0.009381,0.023311,0.112394,0.007938,1,-0.014016
2010-01-13,0.410587,190.000000,1145.680054,508868000,229,4170360000,0.013582,-0.050000,0.008326,0.023311,0.112394,0.007938,0,-0.033898
2010-01-14,0.404168,200.000000,1148.459961,608524000,139,3915200000,-0.015634,0.052632,0.002426,0.023311,0.112394,0.007938,0,0.013582
2010-01-15,0.392247,198.000000,1136.030029,818192000,115,4758730000,-0.029495,-0.010000,-0.010823,0.023311,0.112394,0.007938,1,-0.015634
2010-01-19,0.399583,206.000000,1150.229980,545328000,339,4724830000,0.018702,0.040404,0.012500,0.023311,0.112394,0.007938,0,-0.029495
2010-01-20,0.397978,218.000000,1138.040039,719728000,162,4810560000,-0.004016,0.058252,-0.010598,0.023311,0.112394,0.007938,0,0.018702
2010-01-21,0.390871,224.000000,1116.479980,608632000,561,6874290000,-0.017857,0.027523,-0.018945,0.023311,0.112394,0.007938,0,-0.004016
2010-01-22,0.377346,238.000000,1091.760010,1067916000,376,6208650000,-0.034604,0.062500,-0.022141,0.023311,0.112394,0.007938,1,-0.017857
2010-01-25,0.383765,230.000000,1096.780029,643676000,80,4481390000,0.017011,-0.033613,0.004598,0.023311,0.112394,0.007938,0,-0.034604
2010-01-26,0.371615,220.000000,1092.170044,714636000,186,4731910000,-0.031661,-0.043478,-0.004203,0.023311,0.112394,0.007938,1,0.017011
2010-01-27,0.381702,220.000000,1097.500000,812504000,18,5319120000,0.027144,0.000000,0.004880,0.023311,0.112394,0.007938,0,-0.031661
2010-01-28,0.368864,202.000000,1084.530029,687764000,207,5452400000,-0.033634,-0.081818,-0.011818,0.023311,0.112394,0.007938,0,0.027144
2010-01-29,0.352816,220.000000,1073.869995,774700000,25,5412850000,-0.043505,0.089109,-0.009829,0.023311,0.112394,0.007938,1,-0.033634
2010-02-01,0.379868,220.000000,1089.189941,949832000,95,4077610000,0.076673,0.000000,0.014266,0.023311,0.112394,0.007938,1,-0.043505
2010-02-02,0.383765,204.000000,1103.319946,849812000,137,4749540000,0.010260,-0.072727,0.012973,0.023311,0.112394,0.007938,1,0.076673
2010-02-03,0.386974,210.000000,1097.280029,562296000,210,4285450000,0.008363,0.029412,-0.005474,0.023311,0.112394,0.007938,0,0.010260
